year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2016,Monroe County; Alabama,21975,10522,11453,1213,1198,1743,1681,1247,2252,2561,3038,1828,1301,2245,1242,426,41.5,16829,15867,4625,3913,16829,7788,9041,3913,1666,2247,21975,21771,204,21771,12065,9405,251,0,0,0,0,50,0,0,0,2,0,0,01,099,48,0,0,0,0,0,0,204,62,142,0,0,21975,12269,9467,393,50,0,0,21975,136,83,53,0,0,21839,12013,9321,251,50,0,0,204,0,204,11275,16822,7788,9034
2016,Lawrence County; Alabama,33433,16272,17161,1826,2464,1852,1907,1957,3944,4203,5088,2776,2016,3353,1560,487,42.2,26121,25017,6559,5400,26121,12636,13485,5400,2421,2979,33433,31592,1841,31592,26108,3800,1653,1410,0,0,0,31,0,7,16,0,0,8,01,079,0,0,0,0,0,0,0,1841,223,1357,3,43,33433,27824,4073,3056,120,82,126,33433,691,549,13,18,111,32742,25629,3800,1653,31,0,0,1629,12,1617,15181,25993,12606,13387
2016,Lee County; Alabama,153947,76027,77920,9098,9581,9154,13483,22532,22231,18594,17995,7533,7857,9911,4641,1337,30.5,120408,107161,20618,15889,120408,58916,61492,15889,7069,8820,153947,151681,2266,151681,107682,35770,203,101,20,0,0,5576,836,1084,142,235,2286,543,01,081,450,27,0,0,0,27,2423,2266,824,733,303,35,153947,109731,36841,992,6068,119,2533,153947,5681,1933,1175,144,2429,148266,104480,35541,178,5469,11,421,2166,62,2104,65701,115344,56117,59227
2016,Marion County; Alabama,30239,14958,15281,1532,1694,1894,1884,1697,3223,3721,4398,1832,2287,3483,1858,736,43.9,23855,22798,7519,6077,23855,11649,12206,6077,2683,3394,30239,29641,598,29641,28242,1012,115,76,0,6,0,98,0,15,13,17,0,53,01,093,0,0,0,0,0,0,174,598,204,119,41,32,30239,28753,1248,266,329,145,231,30239,726,482,134,0,110,29513,27834,982,115,98,0,0,484,12,472,14702,23725,11592,12133
2016,Pickens County; Alabama,20042,9877,10165,1088,1225,1105,1248,1292,2462,2263,2971,1469,1327,2035,1044,513,42.2,15847,15091,4377,3592,15847,7704,8143,3592,1565,2027,20042,19870,172,19870,11254,8387,24,0,0,0,0,12,0,0,2,0,0,0,01,107,10,9,9,0,0,0,184,172,71,31,6,6,20042,11388,8517,61,39,9,221,20042,486,361,35,18,72,19556,10994,8372,24,12,9,8,137,11,126,9449,15583,7673,7910
2016,Sumter County; Alabama,13285,6135,7150,681,710,755,1239,1622,1428,1274,1557,1037,826,1138,788,230,36.5,10641,9396,2664,2156,10641,4723,5918,2156,841,1315,13285,13237,48,13237,3280,9523,41,0,0,0,0,375,0,313,0,0,0,3,01,119,59,0,0,0,0,0,18,48,29,13,0,0,13285,3322,9558,54,375,0,24,13285,39,36,0,0,3,13246,3265,9520,41,375,0,0,45,3,42,6767,10389,4577,5812
2016,Jefferson County; Alabama,659096,311971,347125,43079,43081,41228,41596,44015,94797,83494,86517,46256,40716,52556,28935,12826,37.5,506618,481136,117831,94317,506618,234280,272338,94317,38340,55977,659096,649529,9567,649529,345499,280248,1467,471,4,11,31,9932,3152,2399,458,134,1010,1448,01,073,1331,198,15,50,0,133,12185,9567,3180,1968,1687,701,659096,353274,285592,4817,12400,408,12888,659096,24316,17126,1518,398,5274,634780,333970,279059,1148,9909,174,1530,8990,268,8722,305262,491015,225651,265364
2016,Choctaw County; Alabama,13287,6349,6938,648,678,900,825,788,1286,1509,1929,1080,887,1602,861,294,45.1,10527,10102,3346,2757,10527,4926,5601,2757,1209,1548,13287,13163,124,13163,7495,5658,2,0,0,0,0,6,0,0,6,0,0,0,01,023,0,0,0,0,0,0,2,124,30,42,2,18,13287,7601,5738,94,8,0,2,13287,74,28,46,0,0,13213,7468,5611,2,6,0,2,124,0,124,7241,10516,4922,5594
2016,Franklin County; Alabama,31573,15553,16020,2101,2122,2180,1981,2261,3742,4131,4210,1956,1826,2992,1586,485,39.1,23898,22574,6232,5063,23898,11610,12288,5063,2241,2822,31573,31237,336,31237,28133,1427,313,6,0,0,0,102,0,0,8,4,0,0,01,059,90,18,0,0,0,18,1244,336,14,84,10,2,31573,28430,1566,399,192,25,1383,31573,5057,2340,24,125,2568,26516,24650,1282,234,102,18,22,208,30,178,14050,21934,10581,11353
2016,Marengo County; Alabama,20066,9433,10633,1201,1026,1565,1325,1270,2159,2330,2684,1416,1350,2051,1339,350,42.2,15434,14606,4498,3740,15434,7127,8307,3740,1614,2126,20066,19997,69,19997,9167,10587,50,27,0,0,0,43,2,0,0,0,0,41,01,091,0,0,0,0,0,0,150,69,13,40,0,16,20066,9220,10616,106,43,0,150,20066,190,109,0,0,81,19876,9120,10587,50,43,0,7,69,0,69,10208,15308,7073,8235
