year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_black_or_a,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_
2017,Iron County; Wisconsin,5748,2923,2825,103.5,164,227,280,244,209,474,557,852,571,527,877,558,208,53.8,825,5016,4923,4815,1951,1643,4923,2507,2416,103.8,1643,792,851,93.1,5748,5669,79,5669,5562,36,46,0,9,0,0,9,0,55,051,2,3,0,4,0,0,0,0,0,0,0,16,79,8,31,35,1,5748,5640,45,78,44,0,20,5748,68,8,9,0,51,5680,5514,36,44,9,0,0,77,4,73,6008,4909,2503,2406
2017,Clark County; Wisconsin,34513,17507,17006,102.9,2826,2855,2787,2491,1830,3468,3747,4376,2372,2216,2895,1732,918,37.5,10142,25477,24371,23280,6881,5545,24371,12346,12025,102.7,5545,2575,2970,86.7,34513,34082,431,34082,33301,220,82,1,9,0,0,124,3,55,019,26,27,0,8,4,56,1,0,1,0,0,354,431,93,205,59,0,34513,33712,334,295,230,35,373,34513,1514,1400,64,2,48,32999,32258,151,72,122,0,1,395,0,395,15122,23756,11998,11758
2017,St. Croix County; Wisconsin,87142,43468,43674,99.5,5512,6779,6350,5847,4499,10162,12213,13285,6266,5318,6598,3090,1223,38.3,22522,67146,64620,61697,13889,10911,64620,32058,32562,98.5,10911,5083,5828,87.2,87142,85994,1148,85994,83819,758,316,12,77,0,13,908,139,55,109,133,31,20,65,23,497,1,0,1,0,0,192,1148,291,249,460,1,87142,84954,1084,600,1394,27,279,87142,1972,1316,212,20,424,85170,82112,745,313,908,0,42,1050,0,1050,35152,63960,31653,32307
2017,Oconto County; Wisconsin,37465,19145,18320,104.5,1825,2248,2157,2076,1751,3627,4307,6061,3287,2981,4215,2187,743,46.3,7611,30888,29854,28859,8934,7145,29854,15204,14650,103.8,7145,3466,3679,94.2,37465,36932,533,36932,36135,160,315,9,15,0,7,168,53,55,083,0,27,11,24,31,22,0,0,0,0,0,154,533,59,392,24,0,37465,36651,227,715,209,2,202,37465,639,514,16,27,82,36826,35697,150,313,168,0,0,498,17,481,23972,29585,15081,14504
2017,Lincoln County; Wisconsin,27994,14053,13941,100.8,1282,1432,1612,1714,1390,2618,3248,4427,2569,2084,3044,1834,740,46.9,5444,23352,22550,21726,6814,5618,22550,11267,11283,99.9,5618,2586,3032,85.3,27994,27514,480,27514,27150,150,98,0,57,0,0,104,16,55,069,15,20,13,11,0,29,0,0,0,0,0,12,480,195,151,74,16,27994,27612,361,278,206,40,16,27994,404,302,74,0,28,27590,26784,150,80,104,0,2,470,2,468,17038,22427,11208,11219
2017,Waupaca County; Wisconsin,51651,26305,25346,103.8,2549,3048,3191,3119,2659,5345,5958,7679,4199,3765,5237,3058,1844,44.9,10839,42249,40812,39122,12285,10139,40812,20661,20151,102.5,10139,4918,5221,94.2,51651,51009,642,51009,49870,240,247,36,13,0,2,193,10,55,135,50,29,0,47,0,57,6,3,2,1,0,453,642,151,237,130,5,51651,50477,445,562,332,13,513,51651,1548,1014,51,27,456,50103,48874,197,239,193,6,36,558,4,554,25620,40177,20367,19810
2017,Barron County; Wisconsin,45358,22759,22599,100.7,2540,2765,2889,2527,2419,4933,4960,6129,3548,3358,5248,2913,1129,44.2,9842,36696,35516,34310,11196,9290,35516,17662,17854,98.9,9290,4237,5053,83.9,45358,44857,501,44857,43402,540,354,0,271,0,17,326,110,55,005,11,102,17,21,0,65,0,0,0,0,0,235,501,178,222,68,9,45358,43883,744,585,398,0,255,45358,1092,919,21,4,148,44266,42563,540,354,326,0,0,483,2,481,23856,35066,17395,17671
2017,Sawyer County; Wisconsin,16384,8315,8069,103.0,835,932,947,840,743,1453,1568,2203,1432,1525,2373,1176,357,49.7,3269,13435,13115,12717,4862,3906,13115,6658,6457,103.1,3906,1942,1964,98.9,16384,15920,464,15920,12658,109,2890,0,2587,2,36,87,8,55,113,8,15,2,6,12,36,0,0,0,0,0,176,464,58,311,30,30,16384,13090,201,3237,121,0,205,16384,405,259,80,19,47,15979,12602,109,2824,79,0,3,362,0,362,16285,13015,6606,6409
2017,Green Lake County; Wisconsin,18745,9405,9340,100.7,1029,1219,1219,1183,820,1851,1943,2586,1458,1511,2203,1100,623,45.5,4269,14971,14476,13919,4893,3926,14476,7203,7273,99.0,3926,1816,2110,86.1,18745,18502,243,18502,18019,125,58,0,17,0,0,61,0,55,047,0,28,0,15,0,18,0,0,0,0,0,239,243,141,59,20,0,18745,18262,266,117,86,0,262,18745,866,774,28,22,42,17879,17423,120,55,61,0,11,209,0,209,10689,14076,6932,7144
2017,Price County; Wisconsin,13566,6898,6668,103.4,502,578,744,776,557,1057,1402,2041,1395,1274,1812,995,433,51.3,2344,11611,11222,10892,4001,3240,11222,5699,5523,103.2,3240,1569,1671,93.9,13566,13455,111,13455,12990,97,129,3,31,0,0,81,27,55,099,3,19,1,11,18,2,115,1,0,0,114,43,111,7,54,28,0,13566,13093,108,191,117,128,44,13566,221,120,34,4,63,13345,12834,97,107,81,115,5,106,0,106,10952,11059,5628,5431
