year,county_name,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h,total_housing_units
2014,St. Clair County; Alabama,85242,42650,42592,5347,5196,6064,4903,5031,11132,12009,12565,5396,5555,7402,3600,1042,39.5,65340,62972,15215,12044,65340,32282,33058,12044,5441,6603,85242,84425,817,84425,75106,7952,350,108,0,0,0,577,219,52,124,17,8,115,01,115,42,4,0,0,0,4,436,817,251,334,189,0,85242,75920,8220,711,776,4,455,85242,1861,1536,102,7,216,83381,73778,7888,350,577,4,36,748,16,732,35718
2014,Baldwin County; Alabama,191205,93229,97976,11402,12232,12145,11940,10219,21850,24316,27038,12900,13381,19971,10271,3540,41.8,148019,141815,41941,33782,148019,71359,76660,33782,15674,18108,191205,187678,3527,187678,165673,17907,999,262,0,0,0,1256,117,420,273,49,79,119,01,003,199,0,0,0,0,0,1843,3527,1031,1428,394,42,191205,168686,19046,2547,2110,24,2394,191205,8630,5899,561,260,1910,182575,159047,17833,929,1256,0,200,3310,385,2925,105563
2014,Houston County; Alabama,103079,49416,53663,6634,6884,7136,6447,6255,13223,13290,14357,7081,6036,8952,5068,1716,38.7,78223,74945,19072,15736,78223,36616,41607,15736,6717,9019,103079,101221,1858,101221,72001,26960,390,75,0,17,5,845,182,92,47,66,59,313,01,069,86,4,4,0,0,0,1021,1858,750,544,222,128,103079,73611,27966,1095,1167,50,1126,103079,3251,2150,308,145,648,99828,70059,26765,328,831,0,95,1750,27,1723,45844
2014,Tuscaloosa County; Alabama,198670,96008,102662,12000,11032,12229,17609,25965,29291,22854,23273,12074,10091,12501,6676,3075,31.6,156544,139481,28075,22252,156544,74669,81875,22252,9412,12840,198670,196884,1786,196884,132211,60376,368,135,0,0,0,2802,657,809,120,55,467,27,01,125,667,5,0,5,0,0,1122,1786,535,546,328,121,198670,133796,61164,1069,3281,84,1182,198670,6319,4018,428,91,1782,192351,126998,60158,328,2793,5,320,1749,9,1740,86240
2014,Coffee County; Alabama,50726,25135,25591,3289,3077,3632,3310,3055,6683,6876,6949,3302,2900,4291,2461,901,38.2,38602,36692,9246,7653,38602,18899,19703,7653,3307,4346,50726,49167,1559,49167,39064,8671,445,43,0,2,0,696,50,82,69,4,445,21,01,031,25,0,0,0,0,0,291,1559,378,620,218,88,50726,40478,9225,1214,1051,80,370,50726,3236,1671,603,44,918,47490,36434,8576,385,673,0,27,1395,5,1390,22648
2014,Pike County; Alabama,33216,15785,17431,1837,1935,1685,2993,5488,3986,3483,3713,1878,1799,2541,1471,407,31.1,26636,23248,5363,4419,26636,12547,14089,4419,1889,2530,33216,32625,591,32625,19497,12103,258,5,0,0,0,724,97,354,43,0,130,71,01,109,29,0,0,0,0,0,43,591,177,82,24,25,33216,19885,12501,456,813,14,210,33216,750,423,293,7,27,32466,18995,12087,258,724,0,0,402,0,402,15514
2014,Chambers County; Alabama,34091,16271,17820,2008,2000,2047,2128,2087,3846,4228,4929,2592,2185,3396,1876,769,43.1,26693,25534,7175,6041,26693,12503,14190,6041,2474,3567,34091,33807,284,33807,19771,13722,61,43,0,0,0,214,9,0,35,1,158,0,01,017,11,8,0,0,0,8,31,284,138,100,14,15,34091,20023,13875,176,245,8,48,34091,158,96,0,0,62,33933,19651,13715,61,214,8,0,284,17,267,16944
2014,Montgomery County; Alabama,228850,108811,120039,15675,15427,15207,16833,18540,32934,28736,29844,14156,12796,15773,9423,3506,34.9,172947,161762,35612,28702,172947,80368,92579,28702,11805,16897,228850,225731,3119,225731,90109,127389,593,301,17,8,0,5216,1019,637,447,157,1870,479,01,101,607,36,0,36,0,0,2388,3119,1063,395,332,206,228850,92270,129269,1381,6115,155,3011,228850,7956,4688,688,249,2331,220894,85400,126780,480,5191,31,186,2826,493,2333,102603
2014,Henry County; Alabama,17270,8226,9044,941,991,1109,990,932,1717,2272,2364,1345,1297,1939,989,384,43.1,13517,13174,4081,3312,13517,6379,7138,3312,1448,1864,17270,17165,105,17165,12050,4777,0,0,0,0,0,218,128,68,0,0,22,0,01,067,0,0,0,0,0,0,120,105,22,58,0,0,17270,12145,4809,58,228,0,135,17270,418,317,0,26,75,16852,11767,4777,0,218,0,0,90,0,90,8934
2014,Tallapoosa County; Alabama,41295,19983,21312,2429,2478,2524,2540,2403,4492,4906,5883,3230,2850,4436,2309,815,42.5,32267,30826,9175,7560,32267,15388,16879,7560,3369,4191,41295,41013,282,41013,29076,11457,92,12,0,0,0,5,0,0,2,0,0,0,01,123,3,0,0,0,0,0,383,282,81,170,0,15,41295,29327,11553,293,21,0,383,41295,1036,910,45,2,79,40259,28551,11328,82,5,0,11,282,0,282,22074
